card_name,set_name,type,is_kingdom_card,cost,card_text,clean,in_supply,supply,clean_name,split_name,images
Black Market,Promo,Action,1,$3,"+$2\nReveal the top 3 cards of the Black Market deck. You may buy one of them immediately. Put the unbought cards on the bottom of the Black Market deck in any order.\d(Before the game, make a Black Market deck out of one copy of each Kingdom card not in ",black market,1,1,black market,"['black', 'market']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/promotional-cards/black-market.jpg
Envoy,Promo,Action,1,$4,Reveal the top 5 cards of your deck. The player to your left chooses one for you to discard. Draw the rest.,envoy,1,1,envoy,['envoy'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/promotional-cards/envoy.jpg
Governor,Promo,Action,1,$5,+1 Action\nChoose one; you get the version in parentheses: Each player gets +1 (+3) Cards; or each player gains a Silver (Gold); or each player may trash a card from his hand and gain a card costing exactly $1 ($2) more.,governor,1,1,governor,['governor'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/promotional-cards/governor.jpg
Prince,Promo,Action,1,$8,"You may set this aside. If you do, set aside an Action card from your hand costing up to $4. At the start of each of your turns, play that Action, setting it aside again when you discard it from play. (Stop playing it if you fail to set it aside on a turn you play it.)",prince,1,1,prince,['prince'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/promotional-cards/prince.jpg
Stash,Promo,Treasure,1,$5,"Worth $2\dWhen you shuffle, you may put this anywhere in your deck.",stash,1,1,stash,['stash'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/promotional-cards/stash.jpg
Walled Village,Promo,Action,1,$4,"+1 Card\n+2 Actions\dAt the start of Clean-up, if you have this and no more than one other Action card in play, you may put this on top of your deck.",walled village,1,1,walled village,"['walled', 'village']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/promotional-cards/walled-village.jpg
Adventurer,Dominion,Action,1,$6,Reveal cards from your deck until you reveal 2 Treasure cards. Put those Treasure cards in your hand and discard the other revealed cards.,adventurer,1,1,adventurer,['adventurer'],https://raw.githubusercontent.com/NoahChristiansen/extra-dominion-cards/main/card_images/adventurer.jpg
Bureaucrat,Dominion,Action-Attack,1,$4,Gain a silver card; put it on top of your deck. Each other player reveals a Victory card from his hand and puts it on his deck (or reveals a hand with no Victory cards).,bureaucrat,1,1,bureaucrat,['bureaucrat'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/bureaucrat.jpg
Cellar,Dominion,Action,1,$2,+1 Action\nDiscard any number of cards.\n+1 Card per card discarded.,cellar,1,1,cellar,['cellar'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dominion/cellar.jpg
Chancellor,Dominion,Action,1,$3,+$2\nYou may immediately put your deck into your discard pile.,chancellor,1,1,chancellor,['chancellor'],https://raw.githubusercontent.com/NoahChristiansen/extra-dominion-cards/main/card_images/chancellor.jpg
